id;id_prov;nama_kota;kode_kota;created_at;updated_at
89;5;KABUPATEN MERANGIN;1502;2021-04-03 15:55:09;2021-04-03 15:55:09
90;5;KABUPATEN SAROLANGUN;1503;2021-04-03 15:55:09;2021-04-03 15:55:09
91;5;KABUPATEN BATANG HARI;1504;2021-04-03 15:55:09;2021-04-03 15:55:09
92;5;KABUPATEN MUARO JAMBI;1505;2021-04-03 15:55:09;2021-04-03 15:55:09
93;5;KABUPATEN TANJUNG JABUNG TIMUR;1506;2021-04-03 15:55:09;2021-04-03 15:55:09
94;5;KABUPATEN TANJUNG JABUNG BARAT;1507;2021-04-03 15:55:09;2021-04-03 15:55:09
95;5;KABUPATEN TEBO;1508;2021-04-03 15:55:09;2021-04-03 15:55:09
96;5;KABUPATEN BUNGO;1509;2021-04-03 15:55:09;2021-04-03 15:55:09
97;5;KOTA JAMBI;1571;2021-04-03 15:55:09;2021-04-03 15:55:09
98;5;KOTA SUNGAI PENUH;1572;2021-04-03 15:55:09;2021-04-03 15:55:09
99;6;KABUPATEN OGAN KOMERING ULU;1601;2021-04-03 15:55:09;2021-04-03 15:55:09
100;6;KABUPATEN OGAN KOMERING ILIR;1602;2021-04-03 15:55:09;2021-04-03 15:55:09
101;6;KABUPATEN MUARA ENIM;1603;2021-04-03 15:55:09;2021-04-03 15:55:09
102;6;KABUPATEN LAHAT;1604;2021-04-03 15:55:09;2021-04-03 15:55:09
103;6;KABUPATEN MUSI RAWAS;1605;2021-04-03 15:55:09;2021-04-03 15:55:09
104;6;KABUPATEN MUSI BANYUASIN;1606;2021-04-03 15:55:09;2021-04-03 15:55:09
105;6;KABUPATEN BANYU ASIN;1607;2021-04-03 15:55:09;2021-04-03 15:55:09
106;6;KABUPATEN OGAN KOMERING ULU SELATAN;1608;2021-04-03 15:55:09;2021-04-03 15:55:09
107;6;KABUPATEN OGAN KOMERING ULU TIMUR;1609;2021-04-03 15:55:09;2021-04-03 15:55:09
108;6;KABUPATEN OGAN ILIR;1610;2021-04-03 15:55:09;2021-04-03 15:55:09
109;6;KABUPATEN EMPAT LAWANG;1611;2021-04-03 15:55:09;2021-04-03 15:55:09
110;6;KABUPATEN PENUKAL ABAB LEMATANG ILIR;1612;2021-04-03 15:55:09;2021-04-03 15:55:09
111;6;KABUPATEN MUSI RAWAS UTARA;1613;2021-04-03 15:55:09;2021-04-03 15:55:09
112;6;KOTA PALEMBANG;1671;2021-04-03 15:55:09;2021-04-03 15:55:09
113;6;KOTA PRABUMULIH;1672;2021-04-03 15:55:09;2021-04-03 15:55:09
114;6;KOTA PAGAR ALAM;1673;2021-04-03 15:55:09;2021-04-03 15:55:09
115;6;KOTA LUBUKLINGGAU;1674;2021-04-03 15:55:09;2021-04-03 15:55:09
116;7;KABUPATEN BENGKULU SELATAN;1701;2021-04-03 15:55:09;2021-04-03 15:55:09
117;7;KABUPATEN REJANG LEBONG;1702;2021-04-03 15:55:09;2021-04-03 15:55:09
118;7;KABUPATEN BENGKULU UTARA;1703;2021-04-03 15:55:09;2021-04-03 15:55:09
119;7;KABUPATEN KAUR;1704;2021-04-03 15:55:09;2021-04-03 15:55:09
120;7;KABUPATEN SELUMA;1705;2021-04-03 15:55:09;2021-04-03 15:55:09
121;7;KABUPATEN MUKOMUKO;1706;2021-04-03 15:55:09;2021-04-03 15:55:09
122;7;KABUPATEN LEBONG;1707;2021-04-03 15:55:09;2021-04-03 15:55:09
123;7;KABUPATEN KEPAHIANG;1708;2021-04-03 15:55:09;2021-04-03 15:55:09
124;7;KABUPATEN BENGKULU TENGAH;1709;2021-04-03 15:55:09;2021-04-03 15:55:09
125;7;KOTA BENGKULU;1771;2021-04-03 15:55:09;2021-04-03 15:55:09
126;8;KABUPATEN LAMPUNG BARAT;1801;2021-04-03 15:55:09;2021-04-03 15:55:09
127;8;KABUPATEN TANGGAMUS;1802;2021-04-03 15:55:09;2021-04-03 15:55:09
128;8;KABUPATEN LAMPUNG SELATAN;1803;2021-04-03 15:55:09;2021-04-03 15:55:09
129;8;KABUPATEN LAMPUNG TIMUR;1804;2021-04-03 15:55:09;2021-04-03 15:55:09
130;8;KABUPATEN LAMPUNG TENGAH;1805;2021-04-03 15:55:09;2021-04-03 15:55:09
131;8;KABUPATEN LAMPUNG UTARA;1806;2021-04-03 15:55:09;2021-04-03 15:55:09
132;8;KABUPATEN WAY KANAN;1807;2021-04-03 15:55:09;2021-04-03 15:55:09
133;8;KABUPATEN TULANGBAWANG;1808;2021-04-03 15:55:09;2021-04-03 15:55:09
134;8;KABUPATEN PESAWARAN;1809;2021-04-03 15:55:09;2021-04-03 15:55:09
135;8;KABUPATEN PRINGSEWU;1810;2021-04-03 15:55:09;2021-04-03 15:55:09
136;8;KABUPATEN MESUJI;1811;2021-04-03 15:55:09;2021-04-03 15:55:09
137;8;KABUPATEN TULANG BAWANG BARAT;1812;2021-04-03 15:55:09;2021-04-03 15:55:09
138;8;KABUPATEN PESISIR BARAT;1813;2021-04-03 15:55:09;2021-04-03 15:55:09
139;8;KOTA BANDAR LAMPUNG;1871;2021-04-03 15:55:09;2021-04-03 15:55:09
140;8;KOTA METRO;1872;2021-04-03 15:55:09;2021-04-03 15:55:09
141;9;KABUPATEN BANGKA;1901;2021-04-03 15:55:09;2021-04-03 15:55:09
142;9;KABUPATEN BELITUNG;1902;2021-04-03 15:55:09;2021-04-03 15:55:09
143;9;KABUPATEN BANGKA BARAT;1903;2021-04-03 15:55:09;2021-04-03 15:55:09
144;9;KABUPATEN BANGKA TENGAH;1904;2021-04-03 15:55:09;2021-04-03 15:55:09
145;9;KABUPATEN BANGKA SELATAN;1905;2021-04-03 15:55:09;2021-04-03 15:55:09
146;9;KABUPATEN BELITUNG TIMUR;1906;2021-04-03 15:55:09;2021-04-03 15:55:09
147;9;KOTA PANGKAL PINANG;1971;2021-04-03 15:55:09;2021-04-03 15:55:09
148;10;KABUPATEN KARIMUN;2101;2021-04-03 15:55:09;2021-04-03 15:55:09
149;10;KABUPATEN BINTAN;2102;2021-04-03 15:55:09;2021-04-03 15:55:09
150;10;KABUPATEN NATUNA;2103;2021-04-03 15:55:09;2021-04-03 15:55:09
151;10;KABUPATEN LINGGA;2104;2021-04-03 15:55:09;2021-04-03 15:55:09
152;10;KABUPATEN KEPULAUAN ANAMBAS;2105;2021-04-03 15:55:09;2021-04-03 15:55:09
153;10;KOTA BATAM;2171;2021-04-03 15:55:09;2021-04-03 15:55:09
154;10;KOTA TANJUNG PINANG;2172;2021-04-03 15:55:09;2021-04-03 15:55:09
155;11;KABUPATEN KEPULAUAN SERIBU;3101;2021-04-03 15:55:09;2021-04-03 15:55:09
156;11;KOTA JAKARTA SELATAN;3171;2021-04-03 15:55:09;2021-04-03 15:55:09
157;11;KOTA JAKARTA TIMUR;3172;2021-04-03 15:55:09;2021-04-03 15:55:09
158;11;KOTA JAKARTA PUSAT;3173;2021-04-03 15:55:09;2021-04-03 15:55:09
159;11;KOTA JAKARTA BARAT;3174;2021-04-03 15:55:09;2021-04-03 15:55:09
160;11;KOTA JAKARTA UTARA;3175;2021-04-03 15:55:09;2021-04-03 15:55:09
